Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
BD1200038,,7.4,5.0,,,,3.5,4.75,4.5,,,4.2,N1,BinhDinh
BD1200039,,6.0,6.25,2.5,2.25,3.5,3.25,5.25,7.0,,,4.4,N1,BinhDinh
BD1200040,,5.4,5.5,3.75,3.5,4.0,4.25,7.0,7.0,,,2.8,N1,BinhDinh
BD1200041,,5.2,4.5,,,,3.5,4.75,6.0,,,2.6,N1,BinhDinh
BD1200042,,3.8,5.75,3.75,3.5,4.75,4.0,5.75,9.0,,,4.0,N1,BinhDinh
BD1200043,,2.8,3.0,,,,3.75,4.25,7.5,,,2.6,N1,BinhDinh
BD1200044,,8.4,5.5,7.75,4.25,5.0,,,,,,6.6,N1,BinhDinh
BD1200045,,7.6,5.0,7.0,5.0,3.75,,,,,,6.2,N1,BinhDinh
BD1200046,,4.8,7.0,,,,6.5,8.5,8.25,,,8.4,N1,BinhDinh
BD1200047,,4.0,4.75,4.25,3.0,3.5,,,,,,2.6,N1,BinhDinh
BD1200048,,8.4,4.75,7.75,7.5,5.5,,,,,,5.2,N1,BinhDinh
BD1200049,,7.6,5.5,5.5,4.25,5.0,,,,,,3.2,N1,BinhDinh
BD1200050,,5.2,5.25,,,,5.25,6.5,7.75,,,3.6,N1,BinhDinh
BD1200051,,2.2,1.5,,,,2.75,4.25,3.25,,,3.6,N1,BinhDinh
BD1200052,,4.4,5.0,,,,4.75,6.0,9.0,,,3.4,N1,BinhDinh
BD1200053,,6.8,5.25,5.25,6.5,4.5,,,,,,3.4,N1,BinhDinh
BD1200054,,8.8,6.25,5.75,8.0,9.75,,,,,,5.8,N1,BinhDinh
BD1200055,,6.2,6.25,,,,3.5,4.75,7.0,,,5.0,N1,BinhDinh
BD1200056,,7.8,,7.5,6.25,5.25,,,,,,5.8,N1,BinhDinh
BD1200057,,7.2,5.5,6.0,5.25,5.25,,,,,,5.6,N1,BinhDinh
BD1200058,,6.0,5.0,3.75,3.5,3.5,5.5,5.75,5.0,,,4.8,N1,BinhDinh
BD1200059,,6.0,4.5,,,,2.5,5.25,7.25,,,2.0,N1,BinhDinh
BD1200060,,6.0,4.25,,,,4.25,5.25,5.25,,,3.8,N1,BinhDinh
BD1200061,,7.6,5.25,5.0,3.75,4.75,4.0,6.5,6.25,,,4.6,N1,BinhDinh
BD1200062,,7.2,6.0,6.5,6.0,2.75,2.0,6.25,6.0,,,2.6,N1,BinhDinh
BD1200063,,4.2,5.0,2.75,4.0,3.25,2.5,6.25,5.5,,,4.0,N1,BinhDinh
BD1200064,,7.0,7.5,,,,6.0,7.0,8.5,,,8.0,N1,BinhDinh
BD1200065,,3.0,4.25,2.75,2.75,3.75,1.25,4.0,5.0,,,3.2,N1,BinhDinh
BD1200066,,6.6,7.0,,,,3.25,6.75,8.75,,,5.4,N1,BinhDinh
BD1200067,,3.6,4.0,,,,2.25,2.75,4.5,,,2.8,N1,BinhDinh
BD1200068,,6.6,8.0,,,,7.0,7.25,8.25,,,6.0,N1,BinhDinh
BD1200069,,3.8,5.75,,,,4.75,4.25,8.0,,,4.0,N1,BinhDinh
BD1200070,,4.4,4.5,,,,4.75,4.75,7.75,,,3.6,N1,BinhDinh
BD1200071,,3.4,5.0,,,,4.5,4.75,6.5,,,4.6,N1,BinhDinh
BD1200072,,3.0,5.0,3.25,1.75,2.5,2.0,4.25,7.25,,,2.2,N1,BinhDinh
BD1200073,,3.0,5.0,,,,4.5,6.25,7.25,,,2.8,N1,BinhDinh
BD1200074,,2.6,4.75,2.5,2.25,3.5,4.75,5.75,6.25,,,1.6,N1,BinhDinh
BD1200075,,8.4,5.25,7.5,5.25,4.75,,,,,,7.6,N1,BinhDinh
BD1200076,,7.0,5.75,3.25,5.25,5.5,4.25,7.0,7.25,,,3.4,N1,BinhDinh
BD1200077,,6.6,4.75,5.0,5.25,4.75,,,,,,2.6,N1,BinhDinh
BD1200078,,6.6,6.25,6.5,5.5,4.75,,,,,,4.4,N1,BinhDinh
BD1200079,,6.6,5.25,4.75,4.5,5.0,,,,,,4.8,N1,BinhDinh
BD1200080,,7.6,5.75,7.5,6.0,4.0,,,,,,5.0,N1,BinhDinh
BD1200081,,5.6,4.5,3.75,4.5,5.0,5.25,9.0,7.5,,,3.4,N1,BinhDinh
BD1200082,,4.0,4.0,,,,3.75,5.0,8.5,,,2.8,N1,BinhDinh
BD1200083,,5.4,4.75,,,,2.75,6.5,7.0,,,3.2,N1,BinhDinh
BD1200084,,3.4,5.0,,,,3.75,5.0,6.75,,,3.4,N1,BinhDinh
BD1200085,,7.4,4.5,6.75,7.25,6.25,,,,,,4.6,N1,BinhDinh
BD1200086,,7.0,6.0,7.5,5.5,5.75,,,,,,4.2,N1,BinhDinh
BD1200087,,3.2,4.5,,,,2.0,4.5,6.5,,,2.6,N1,BinhDinh
BD1200088,,4.2,6.0,3.5,2.25,2.25,3.75,5.75,5.75,,,2.6,N1,BinhDinh
BD1200089,,3.0,3.0,,,,4.25,4.5,7.25,,,2.6,N1,BinhDinh
BD1200090,,3.4,5.25,,,,5.25,4.75,6.75,,,3.6,N1,BinhDinh
BD1200091,,5.6,6.0,,,,3.5,5.5,5.25,,,3.8,N1,BinhDinh
BD1200092,,7.2,6.5,6.25,5.75,4.25,,,,,,6.8,N1,BinhDinh
BD1200093,,8.6,3.75,7.5,6.75,4.5,,,,,,5.6,N1,BinhDinh
BD1200094,,6.8,5.75,5.0,4.75,4.0,,,,,,4.6,N1,BinhDinh
BD1200095,,6.0,5.75,4.75,3.75,3.75,3.5,6.5,4.75,,,3.4,N1,BinhDinh
BD1200096,,7.2,5.75,,,,4.75,6.0,7.25,,,7.6,N1,BinhDinh
BD1200097,,7.4,5.25,7.0,5.75,3.5,,,,,,3.0,N1,BinhDinh
BD1200098,,3.6,5.0,,,,3.5,3.25,5.5,,,2.8,N1,BinhDinh
BD1200099,,5.8,2.75,,,,2.25,3.75,6.0,,,3.0,N1,BinhDinh
BD1200100,,7.4,7.75,6.5,6.25,6.0,,,,,,6.0,N1,BinhDinh
BD1200101,,5.6,4.0,3.5,5.5,3.5,3.75,4.5,4.75,,,3.0,N1,BinhDinh
BD1200102,,2.0,2.5,,,,2.5,4.75,7.0,,,2.2,N1,BinhDinh
BD1200103,,3.2,4.0,,,,2.25,3.5,7.5,,,3.4,N1,BinhDinh
BD1200104,,5.2,6.25,,,,3.25,6.25,6.75,,,5.0,N1,BinhDinh
BD1200105,,3.8,3.0,,,,2.5,4.0,,,,4.0,N1,BinhDinh
BD1200106,,2.4,1.5,,,,3.75,3.25,,,,,,BinhDinh
BD1200107,,3.8,4.0,,,,2.5,6.25,7.75,,,3.4,N1,BinhDinh
BD1200108,,6.8,5.5,5.5,3.0,4.0,,,,,,4.4,N1,BinhDinh
BD1200109,,4.8,4.5,3.75,4.75,3.75,4.25,7.0,6.75,,,3.0,N1,BinhDinh
BD1200110,,2.8,3.25,3.5,3.5,4.25,3.75,4.5,7.0,,,2.2,N1,BinhDinh
BD1200111,,2.2,4.25,,,,2.5,4.5,7.75,,,1.8,N1,BinhDinh
BD1200112,,7.2,6.25,3.75,5.0,4.5,5.0,7.5,7.75,,,4.8,N1,BinhDinh
BD1200113,,5.8,5.0,2.5,2.75,3.5,3.75,6.25,8.25,,,3.0,N1,BinhDinh
BD1200114,,6.4,4.75,,,,4.0,6.75,8.25,,,3.4,N1,BinhDinh
BD1200115,,7.4,7.0,,,,4.75,7.75,9.0,,,4.2,N1,BinhDinh
BD1200116,,6.4,6.75,,,,5.75,7.5,8.0,,,4.4,N1,BinhDinh
BD1200117,,4.6,4.5,,,,4.0,4.5,6.25,,,2.4,N1,BinhDinh
BD1200118,,7.6,6.5,3.5,5.25,3.5,,,,,,3.0,N1,BinhDinh
BD1200119,,5.0,4.5,,,,5.75,4.75,8.25,,,3.4,N1,BinhDinh
BD1200120,,3.6,5.25,,,,6.0,6.5,8.25,,,3.6,N1,BinhDinh
BD1200121,,5.8,5.75,,,,6.75,4.25,7.5,,,3.2,N1,BinhDinh
BD1200122,,7.8,4.5,6.5,4.75,4.0,,,,,,4.6,N1,BinhDinh
BD1200123,,5.8,6.0,4.0,3.5,6.0,,,,,,3.2,N1,BinhDinh
BD1200124,,3.6,5.25,3.25,1.25,2.25,3.0,5.25,6.25,,,3.2,N1,BinhDinh
BD1200125,,5.0,5.5,,,,4.25,5.75,8.0,,,3.0,N1,BinhDinh
BD1200126,,3.6,2.75,,,,3.25,2.75,4.25,,,4.0,N1,BinhDinh
BD1200127,,6.2,7.0,4.5,6.25,3.5,,,,,,5.6,N1,BinhDinh
BD1200128,,7.6,7.0,6.0,7.0,4.5,,,,,,5.0,N1,BinhDinh
BD1200129,,7.4,6.25,5.75,5.0,3.75,,,,,,1.8,N1,BinhDinh
BD1200130,,5.6,7.0,3.0,2.25,3.75,4.5,5.5,8.0,,,2.8,N1,BinhDinh
BD1200131,,3.8,2.5,,,,3.5,5.25,6.25,,,2.6,N1,BinhDinh
BD1200132,,6.6,6.25,4.0,6.75,6.25,,,,,,3.2,N1,BinhDinh
BD1200133,,4.8,4.5,,,,4.75,5.75,6.25,,,4.2,N1,BinhDinh
BD1200134,,7.2,7.5,,,,5.0,7.25,7.75,,,8.6,N1,BinhDinh
BD1200135,,8.2,7.25,7.75,8.25,4.75,,,,,,7.0,N1,BinhDinh
BD1200136,,4.2,4.75,,,,2.25,5.5,7.25,,,3.2,N1,BinhDinh
BD1200137,,5.8,5.75,,,,4.0,5.75,8.25,,,2.6,N1,BinhDinh
BD1200139,,5.8,4.5,4.5,5.25,4.5,,,,,,3.2,N1,BinhDinh
BD1200140,,2.0,1.25,,,,4.25,,,,,,,BinhDinh
BD1200141,,4.6,4.25,,,,3.25,7.0,,,,2.8,N1,BinhDinh
BD1200142,,6.0,7.0,,,,7.5,6.75,9.25,,,3.2,N1,BinhDinh
BD1200143,,4.4,6.0,,,,6.0,6.25,7.75,,,4.8,N1,BinhDinh
BD1200144,,7.0,5.25,7.0,4.75,4.5,3.5,7.25,8.75,,,3.0,N1,BinhDinh
BD1200145,,2.8,2.0,,,,2.75,4.25,4.25,,,2.8,N1,BinhDinh
BD1200146,,7.0,4.5,5.75,6.5,5.5,,,,,,5.4,N1,BinhDinh
BD1200147,,6.2,5.5,6.25,6.5,3.5,5.25,4.5,6.25,,,5.4,N1,BinhDinh
BD1200148,,6.6,7.0,7.25,4.25,4.75,,,,,,6.2,N1,BinhDinh
